time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-24 00:00:00+00:00,1,1,0,0
2022-12-28 00:00:00+00:00,0,0,9,1
2023-01-02 00:00:00+00:00,1,1,0,0
2023-01-03 00:00:00+00:00,0,0,3,1
2023-01-04 00:00:00+00:00,2,1,2,1
2023-01-06 00:00:00+00:00,0,0,1,1
2023-01-08 00:00:00+00:00,1,1,0,0
2023-01-15 00:00:00+00:00,1,1,0,0
2023-01-19 00:00:00+00:00,0,0,3,1
2023-01-22 00:00:00+00:00,1,1,0,0
2023-01-23 00:00:00+00:00,1,1,4,1
2023-01-29 00:00:00+00:00,1,1,0,0
2023-02-06 00:00:00+00:00,1,1,2,1
2023-02-07 00:00:00+00:00,0,0,2,1
2023-02-14 00:00:00+00:00,1,1,0,0
2023-02-17 00:00:00+00:00,1,1,0,0
2023-02-21 00:00:00+00:00,0,0,1,1
2023-02-22 00:00:00+00:00,1,1,0,0
2023-02-23 00:00:00+00:00,0,0,5,1
2023-02-27 00:00:00+00:00,2,2,0,0
2023-03-01 00:00:00+00:00,1,1,1,1
2023-03-02 00:00:00+00:00,2,1,1,1
2023-03-09 00:00:00+00:00,0,0,2,1
2023-03-10 00:00:00+00:00,1,1,0,0
2023-03-20 00:00:00+00:00,1,1,0,0
2023-04-01 00:00:00+00:00,1,1,0,0
2023-04-02 00:00:00+00:00,0,0,1,1
2023-04-04 00:00:00+00:00,1,1,0,0
2023-04-06 00:00:00+00:00,0,0,3,1
2023-04-07 00:00:00+00:00,0,0,10,1
2023-04-16 00:00:00+00:00,1,1,0,0
2023-05-01 00:00:00+00:00,0,0,1,1
2023-05-03 00:00:00+00:00,1,1,0,0
2023-05-04 00:00:00+00:00,1,1,0,0
2023-05-09 00:00:00+00:00,0,0,1,1
2023-05-15 00:00:00+00:00,1,1,0,0
2023-05-24 00:00:00+00:00,2,1,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-06-03 00:00:00+00:00,1,1,0,0
2023-06-05 00:00:00+00:00,0,0,4,1
2023-06-19 00:00:00+00:00,1,1,0,0
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-26 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,1,1,0,0
2023-07-01 00:00:00+00:00,1,1,0,0
2023-07-10 00:00:00+00:00,0,0,7,1
2023-07-12 00:00:00+00:00,1,1,0,0
2023-07-13 00:00:00+00:00,1,1,0,0
2023-07-26 00:00:00+00:00,1,1,0,0
2023-07-28 00:00:00+00:00,3,2,0,0
2023-07-31 00:00:00+00:00,2,2,0,0
2023-08-05 00:00:00+00:00,1,1,0,0
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-23 00:00:00+00:00,1,1,0,0
