time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-28 00:00:00+00:00,0,0,6,1
2022-12-29 00:00:00+00:00,2,2,2,1
2022-12-30 00:00:00+00:00,2,2,8,3
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-01 00:00:00+00:00,3,2,3,1
2023-01-02 00:00:00+00:00,1,1,3,1
2023-01-03 00:00:00+00:00,4,3,3,1
2023-01-04 00:00:00+00:00,2,2,0,0
2023-01-05 00:00:00+00:00,0,0,1,1
2023-01-06 00:00:00+00:00,1,1,4,1
2023-01-07 00:00:00+00:00,2,2,0,0
2023-01-08 00:00:00+00:00,1,1,4,2
2023-01-12 00:00:00+00:00,1,1,3,1
2023-01-19 00:00:00+00:00,1,1,0,0
2023-01-26 00:00:00+00:00,1,1,0,0
2023-01-31 00:00:00+00:00,0,0,6,1
2023-02-01 00:00:00+00:00,1,1,0,0
