url_path,views_total,views_unique
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend,6,1
/mepa1363/amazon-location-search-widget/tree/main/amplify,5,1
/mepa1363/amazon-location-search-widget,4,1
/mepa1363/amazon-location-search-widget/tree/main/src,4,1
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend/geo,3,1
/mepa1363/amazon-location-search-widget/blob/main/src/App.vue,2,2
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend/geo/locationsearchmap,2,1
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend/geo/locationsearchwidget,2,1
/mepa1363/amazon-location-search-widget/blob/main/amplify/backend/backend-config.json,1,1
/mepa1363/amazon-location-search-widget/blob/main/amplify/backend/geo/locationsearchmap/locationsearchmap-cloudformation-template.json,1,1
