time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-02 00:00:00+00:00,0,0,1,1
2023-01-03 00:00:00+00:00,0,0,3,1
2023-01-06 00:00:00+00:00,0,0,1,1
2023-01-07 00:00:00+00:00,2,1,0,0
2023-01-17 00:00:00+00:00,0,0,1,1
2023-01-18 00:00:00+00:00,0,0,2,1
2023-01-19 00:00:00+00:00,1,1,0,0
2023-01-23 00:00:00+00:00,1,1,0,0
2023-01-28 00:00:00+00:00,0,0,10,1
2023-01-31 00:00:00+00:00,0,0,15,1
2023-02-17 00:00:00+00:00,1,1,0,0
2023-02-21 00:00:00+00:00,0,0,1,1
2023-02-23 00:00:00+00:00,0,0,1,1
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-06 00:00:00+00:00,1,1,0,0
2023-03-07 00:00:00+00:00,0,0,1,1
2023-03-09 00:00:00+00:00,1,1,40,1
2023-03-25 00:00:00+00:00,0,0,14,1
2023-03-28 00:00:00+00:00,0,0,1,1
2023-04-02 00:00:00+00:00,0,0,1,1
2023-04-12 00:00:00+00:00,0,0,1,1
2023-04-14 00:00:00+00:00,0,0,1,1
2023-05-01 00:00:00+00:00,0,0,3,1
2023-05-02 00:00:00+00:00,1,1,0,0
2023-05-04 00:00:00+00:00,0,0,1,1
2023-05-05 00:00:00+00:00,0,0,1,1
